specialty,provider_type,geographic_region,variable,n_orgs,n_incumbents,p25,p50,p75,p90
Cardiology,CALL,National,Call Pay Rate,85,650,1500,1800,2100,2400
Cardiology,CALL,Northeast,Call Pay Rate,75,580,1600,1900,2200,2500
Cardiology,CALL,West,Call Pay Rate,70,520,1450,1750,2050,2350
Internal Medicine,CALL,National,Call Pay Rate,120,900,1200,1500,1800,2100
Internal Medicine,CALL,South,Call Pay Rate,110,830,1150,1450,1750,2050
Emergency Medicine,CALL,National,Call Pay Rate,95,720,1400,1700,2000,2300
Emergency Medicine,CALL,Northeast,Call Pay Rate,90,680,1450,1750,2050,2350




