specialty,provider_type,geographic_region,variable,n_orgs,n_incumbents,p25,p50,p75,p90
Cardiology,Staff Physician,National,TCC,150,1200,450000,525000,600000,675000
Cardiology,Staff Physician,National,Work RVUs,150,1200,6500,7500,8500,9500
Cardiology,Staff Physician,National,CFs,150,1200,65,75,85,95
Internal Medicine,Staff Physician,National,TCC,200,1800,350000,400000,450000,500000
Internal Medicine,Staff Physician,National,Work RVUs,200,1800,5500,6500,7500,8500
Internal Medicine,Staff Physician,National,CFs,200,1800,60,70,80,90
Emergency Medicine,Staff Physician,National,TCC,175,1500,360000,410000,460000,510000
Emergency Medicine,Staff Physician,National,Work RVUs,175,1500,5800,6800,7800,8800
Emergency Medicine,Staff Physician,National,CFs,175,1500,58,68,78,88




