Provider Name,Specialty,Geographic Region,Provider Type,Compensation
General Pediatrics Provider,General Pediatrics,National,Staff Physician,567345
General Pediatrics Provider,General Pediatrics,Northeast,Staff Physician,607059
General Pediatrics Provider,General Pediatrics,North Central,Staff Physician,538978
General Pediatrics Provider,General Pediatrics,South,Staff Physician,550325
General Pediatrics Provider,General Pediatrics,West,Staff Physician,624080
General Pediatrics Program Director,General Pediatrics,National,Program Director,669467
General Pediatrics Program Director,General Pediatrics,Northeast,Program Director,716330
General Pediatrics Program Director,General Pediatrics,North Central,Program Director,635994
General Pediatrics Program Director,General Pediatrics,South,Program Director,649383
General Pediatrics Program Director,General Pediatrics,West,Program Director,712456
