specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
Cardiology,Staff Physician,National,150,1200,450000,525000,600000,675000,6500,7500,8500,9500,65,75,85,95
Cardiology,Staff Physician,Northeast,125,980,475000,550000,625000,700000,6800,7800,8800,9800,68,78,88,98
Cardiology,Staff Physician,West,110,850,440000,515000,590000,665000,6400,7400,8400,9400,64,74,84,94
Internal Medicine,Staff Physician,National,200,1800,350000,400000,450000,500000,5500,6500,7500,8500,60,70,80,90
Internal Medicine,Staff Physician,South,180,1600,340000,390000,440000,490000,5400,6400,7400,8400,59,69,79,89
Emergency Medicine,Staff Physician,National,175,1500,360000,410000,460000,510000,5800,6800,7800,8800,58,68,78,88




