StandardSpecialty,Population,SullivanCotter,Gallagher,MGMA
Addiction Medicine - Non-Psychiatry,Adult,Addiction Medicine - Non-Psychiatry,,
Addiction Medicine/Substance Abuse,Adult,Addiction Medicine/Substance Abuse,Addiction Medicine/Substance Abuse,
Anesthesiology,Adult,Anesthesiology,Anesthesiology: Cardiac,
Anesthesiology - Cardiovascular,Adult,Anesthesiology - Cardiovascular,Anesthesiology,
Anesthesiology - Neurocritical Care,Adult,Anesthesiology - Neurocritical Care,,
Anesthesiology - Pain Medicine,Adult,Anesthesiology - Pain Medicine,Pain Management: Non-Anesthesiology,
Audiologist,Adult,Audiologist,,
Audiologist (MS),Adult,Audiologist (MS),,
Bariatric Surgery,Adult,Bariatric Surgery,Surgery: Bariatric,
Biochemistry,Adult,Biochemistry,,
Cancer Biology,Adult,Cancer Biology,,
Cardiology - Adult Congenital Heart Disease,Adult,Cardiology - Adult Congenital Heart Disease,,
Cardiology - Advanced Heart Failure and Transplant,Adult,Cardiology - Advanced Heart Failure and Transplant,Cardiology: Heart Failure/Heart Transplant,
"Cardiology - Cardiac Imaging (Echo, CT, MRI, Nuclear)",Adult,"Cardiology - Cardiac Imaging (Echo, CT, MRI, Nuclear)",,
Cardiology - Electrophysiology,Adult,Cardiology - Electrophysiology,Cardiology: Electrophysiology,
Cardiology - General,Adult,Cardiology - General,Cardiology: Noninvasive,
Cardiology - Invasive - Interventional,Adult,Cardiology - Invasive - Interventional,Cardiology: Invasive-Interventional,
Cardiology - Invasive - Noninterventional,Adult,Cardiology - Invasive - Noninterventional,Cardiology: Invasive,
Cardiology - Structural Heart Disease,Adult,Cardiology - Structural Heart Disease,,
Cardiothoracic Surgery,Adult,Cardiothoracic Surgery,Surgery: Cardiothoracic/Cardiovascular,
Cellular and Molecular Biology,Adult,Cellular and Molecular Biology,,
Chiropractor,Adult,Chiropractor,,
Clinical Nurse Specialist (RN),Adult,Clinical Nurse Specialist (RN),,
Colon and Rectal Surgery,Adult,Colon and Rectal Surgery,Surgery: Colon and Rectal,
Combined Scientific Disciplines - PhD,Adult,Combined Scientific Disciplines - PhD,,
Computational Biology,Adult,Computational Biology,,
Concierge Medicine,Adult,Concierge Medicine,Concierge Medicine,
Critical Care Medicine,Adult,Critical Care Medicine,Pulmonary Medicine: General and Critical Care,
Critical Care Medicine - Cardiology,Adult,Critical Care Medicine - Cardiology,Critical Care/Intensivist,
Dentist,Adult,Dentist,,
Dentistry,Adult,Dentistry,Dentistry,
Dermatology,Adult,Dermatology,Dermatology: Dermatopathology,
Dermatology - Mohs Surgery,Adult,Dermatology - Mohs Surgery,Dermatology: Mohs Surgery,
Dosimetrist,Adult,Dosimetrist,,
Emergency Medicine - Nocturnist,Adult,Emergency Medicine - Nocturnist,Emergency Medicine,
Endocrine Surgery,Adult,Endocrine Surgery,Surgery: Endocrine,
Endocrinology and Metabolism,Adult,Endocrinology and Metabolism,Endocrinology/Metabolism,
Endovascular Surgery,Adult,Endovascular Surgery,Surgery: Neurological (Endovascular),
Epidemiology,Adult,Epidemiology,,
Family Medicine,Adult,Family Medicine,Family Practice: Sports Medicine,
Family Medicine With Obstetrics,Adult,Family Medicine With Obstetrics,,
Gastroenterology - Advanced Endoscopy,Adult,Gastroenterology - Advanced Endoscopy,,
General Surgery,Adult,General Surgery,,
General Surgery - Minimally Invasive Surgery/Robotics,Adult,General Surgery - Minimally Invasive Surgery/Robotics,,
Genetics (MD),Adult,Genetics (MD),Genetics,
Geriatrics,Adult,Geriatrics,Geriatrics,
Gynecologic Surgery - Minimally Invasive Surgery/Robotics,Adult,Gynecologic Surgery - Minimally Invasive Surgery/Robotics,OB/GYN: Minimally Invasive Gynecologic Surgery,
Hepatobiliary or Hepatopancreatobiliary Surgery,Adult,Hepatobiliary or Hepatopancreatobiliary Surgery,,
Hepatology,Adult,Hepatology,Gastroenterology: Hepatology,
Hepatology - Transplant,Adult,Hepatology - Transplant,Surgery: Transplant,
Hospice Medicine,Adult,Hospice Medicine,,
Hospice and Palliative Medicine,Adult,Hospice and Palliative Medicine,Hospice/Palliative Care,
Hospitalist - Extensivist,Adult,Hospitalist - Extensivist,,
Hospitalist - Family Medicine,Adult,Hospitalist - Family Medicine,Hospitalist: Family Practice/Internal Medicine,
Hospitalist - Gastroenterology,Adult,Hospitalist - Gastroenterology,Gastroenterology,
Hospitalist - Internal Medicine,Adult,Hospitalist - Internal Medicine,Hospitalist: Neuro,
Hospitalist - Laborist,Adult,Hospitalist - Laborist,OB/GYN: Hospitalist/Laborist,
Hospitalist - Neurology,Adult,Hospitalist - Neurology,Neurology,
Hospitalist - Nocturnist,Adult,Hospitalist - Nocturnist,Hospitalist: Nocturnist,
Hospitalist - Surgicalist,Adult,Hospitalist - Surgicalist,,
Hyperbaric and Wound Care,Adult,Hyperbaric and Wound Care,,
Immunology,Adult,Immunology,Allergy/Immunology,
Integrative Medicine,Adult,Integrative Medicine,Integrative Medicine,
Internal Medicine,Adult,Internal Medicine,,
Internal Medicine - Medical Home,Adult,Internal Medicine - Medical Home,,
Internal Medicine: General,Adult,Internal Medicine: General,Internal Medicine: General,
Medical Urology,Adult,Medical Urology,Urology,
Microbiology,Adult,Microbiology,,
Nephrology - Transplant,Adult,Nephrology - Transplant,Nephrology: Transplant,
Nephrology and Hypertension,Adult,Nephrology and Hypertension,Nephrology,
Neurological Surgery,Adult,Neurological Surgery,Surgery: Neurological,
