specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
General Pediatrics,Staff Physician,National,108,1054,510610,567345,624079,680814,7326,8140,8954,9768,69,77,84,92
General Pediatrics,Staff Physician,Northeast,125,901,546353,607059,667765,728471,7326,8140,8954,9768,69,77,84,92
General Pediatrics,Staff Physician,North Central,149,1334,485080,538978,592875,646773,7326,8140,8954,9768,69,77,84,92
General Pediatrics,Staff Physician,South,57,464,495292,550325,605357,660390,7326,8140,8954,9768,69,77,84,92
General Pediatrics,Staff Physician,West,99,1031,561671,624080,686487,748896,7326,8140,8954,9768,69,77,84,92
General Pediatrics,Program Director,National,32,144,602520,669467,736414,803361,5976,6640,7304,7969,84,94,103,112
General Pediatrics,Program Director,Northeast,34,93,644697,716330,787963,859596,5123,5692,6262,6831,77,86,93,102
General Pediatrics,Program Director,North Central,75,149,572394,635994,699593,763193,4600,5111,5622,6134,94,105,115,126
General Pediatrics,Program Director,South,74,193,584445,649383,714321,779260,5504,6116,6727,7339,91,101,110,121
General Pediatrics,Program Director,West,52,113,662772,736414,810055,883697,4423,4915,5406,5898,79,88,96,105
General Pediatrics,Division Chief,National,76,82,653581,726202,798822,871442,6522,7246,7971,8696,85,95,104,113
General Pediatrics,Division Chief,Northeast,66,59,699332,777036,854739,932443,6264,6960,7656,8352,81,90,98,108
General Pediatrics,Division Chief,North Central,30,177,620902,689892,758880,827870,4396,4885,5373,5862,82,91,100,109
General Pediatrics,Division Chief,South,44,69,633974,704416,774857,845299,5358,5954,6549,7144,84,94,103,112
General Pediatrics,Division Chief,West,56,158,718939,798822,878704,958587,5361,5957,6553,7149,79,89,97,106
General Pediatrics,Department Chair,National,62,110,714855,794283,873711,953140,4686,5207,5727,6248,91,102,111,121
General Pediatrics,Department Chair,Northeast,41,121,764894,849883,934871,1019860,5940,6600,7260,7920,87,97,106,117
General Pediatrics,Department Chair,North Central,71,109,679112,754569,830026,905483,5497,6107,6718,7329,90,100,109,120
General Pediatrics,Department Chair,South,68,42,693409,770455,847500,924546,6248,6943,7637,8331,86,96,105,115
General Pediatrics,Department Chair,West,57,147,786340,873712,961082,1048454,4808,5342,5877,6411,96,107,117,128
General Pediatrics,Chief of Surgery,National,67,68,740385,822651,904915,987181,5890,6545,7199,7854,83,93,101,111
General Pediatrics,Chief of Surgery,Northeast,79,34,792212,880236,968259,1056283,4498,4998,5497,5997,94,105,114,125
