specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
General: Pediatrics,Staff Physician,National,139,1240,559038,621154,683269,745385,2724,3027,3329,3632,52,58,63,69
General: Pediatrics,Staff Physician,Northeast,56,1266,598171,664635,731098,797562,2724,3027,3329,3632,52,58,63,69
General: Pediatrics,Staff Physician,North Central,59,405,531086,590097,649106,708116,2724,3027,3329,3632,52,58,63,69
General: Pediatrics,Staff Physician,South,50,495,542267,602520,662771,723023,2724,3027,3329,3632,52,58,63,69
General: Pediatrics,Staff Physician,West,127,1476,614942,683270,751596,819924,2724,3027,3329,3632,52,58,63,69
General: Pediatrics,Program Director,National,41,103,659665,732962,806258,879554,1756,1952,2147,2342,64,71,77,85
General: Pediatrics,Program Director,Northeast,58,109,705842,784270,862696,941123,2378,2643,2906,3171,69,77,83,91
General: Pediatrics,Program Director,North Central,71,55,626682,696314,765945,835577,2270,2522,2774,3026,59,66,72,79
General: Pediatrics,Program Director,South,38,168,639875,710973,782070,853168,2152,2391,2629,2869,62,69,75,83
General: Pediatrics,Program Director,West,30,145,725632,806258,886884,967510,1848,2054,2259,2464,59,66,72,79
General: Pediatrics,Division Chief,National,50,117,715569,795078,874585,954093,2348,2609,2869,3130,60,67,73,80
General: Pediatrics,Division Chief,Northeast,44,94,765659,850733,935806,1020880,1686,1874,2061,2248,62,69,75,82
General: Pediatrics,Division Chief,North Central,60,65,679791,755324,830855,906388,1990,2212,2432,2654,60,67,73,80
General: Pediatrics,Division Chief,South,79,105,694102,771225,848347,925470,1766,1962,2158,2354,69,77,83,91
General: Pediatrics,Division Chief,West,73,82,787126,874585,962043,1049502,1703,1892,2081,2270,72,80,87,95
General: Pediatrics,Department Chair,National,45,20,782654,869616,956577,1043539,2100,2334,2566,2800,62,70,76,83
General: Pediatrics,Department Chair,Northeast,70,126,837440,930489,1023537,1116587,1812,2014,2215,2417,69,78,84,92
General: Pediatrics,Department Chair,North Central,67,26,743521,826135,908748,991362,1901,2112,2323,2534,63,71,77,84
General: Pediatrics,Department Chair,South,54,53,759174,843528,927880,1012233,1995,2217,2439,2661,60,67,73,80
General: Pediatrics,Department Chair,West,53,21,860919,956578,1052235,1147893,1648,1831,2014,2197,69,78,84,92
General: Pediatrics,Chief of Surgery,National,52,26,810606,900674,990740,1080809,1740,1934,2126,2320,67,75,81,89
General: Pediatrics,Chief of Surgery,Northeast,57,116,867348,963721,1060092,1156465,2211,2457,2703,2949,66,74,80,88
General: Pediatrics,Chief of Surgery,North Central,64,159,770076,855640,941203,1026768,2273,2526,2778,3031,57,64,70,76
General: Pediatrics,Chief of Surgery,South,76,175,786288,873654,961018,1048384,2443,2714,2985,3257,69,78,84,92
General: Pediatrics,Chief of Surgery,West,44,55,891667,990741,1089815,1188889,2071,2301,2531,2761,58,65,70,77
Adolescent Medicine,Staff Physician,National,103,365,396167,440186,484204,528223,10607,11786,12964,14143,81,91,100,109
Adolescent Medicine,Staff Physician,Northeast,68,1395,423898,470999,518098,565199,10607,11786,12964,14143,81,91,100,109
Adolescent Medicine,Staff Physician,North Central,93,1490,376358,418176,459994,501812,10607,11786,12964,14143,81,91,100,109
Adolescent Medicine,Staff Physician,South,74,886,384282,426980,469678,512376,10607,11786,12964,14143,81,91,100,109
Adolescent Medicine,Staff Physician,West,56,361,435783,484204,532624,581045,10607,11786,12964,14143,81,91,100,109
Adolescent Medicine,Program Director,National,49,143,467477,519419,571361,623303,7688,8543,9397,10251,107,120,132,144
Adolescent Medicine,Program Director,Northeast,43,79,500200,555779,611356,666934,8077,8974,9871,10769,99,111,122,133
Adolescent Medicine,Program Director,North Central,69,155,444103,493448,542793,592138,9469,10521,11573,12626,100,113,124,135
Adolescent Medicine,Program Director,South,57,189,453452,503837,554220,604604,6479,7200,7919,8640,97,110,120,131
Adolescent Medicine,Program Director,West,60,97,514224,571361,628497,685634,8122,9025,9927,10830,91,102,112,122
Adolescent Medicine,Division Chief,National,58,129,507093,563438,619781,676126,7701,8557,9412,10268,90,102,112,122
Adolescent Medicine,Division Chief,Northeast,51,130,542590,602879,663166,723454,8237,9152,10067,10983,106,119,131,143
Adolescent Medicine,Division Chief,North Central,44,194,481739,535266,588792,642319,8072,8970,9866,10764,102,115,126,138
