specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
Pediatrics General,Staff Physician,National,90,944,480611,534013,587414,640815,6733,7482,8230,8978,70,78,85,93
Pediatrics General,Staff Physician,Northeast,88,1277,514253,571393,628532,685672,6733,7482,8230,8978,70,78,85,93
Pediatrics General,Staff Physician,North Central,125,1456,456580,507312,558043,608774,6733,7482,8230,8978,70,78,85,93
Pediatrics General,Staff Physician,South,93,1019,466192,517992,569791,621590,6733,7482,8230,8978,70,78,85,93
Pediatrics General,Staff Physician,West,58,136,528672,587414,646155,704896,6733,7482,8230,8978,70,78,85,93
Pediatrics General,Program Director,National,58,74,567120,630135,693148,756161,4349,4833,5316,5800,93,103,113,123
Pediatrics General,Program Director,Northeast,60,150,606819,674244,741668,809093,5431,6035,6639,7242,95,106,116,127
Pediatrics General,Program Director,North Central,61,61,538764,598628,658491,718353,5079,5644,6208,6772,83,92,100,110
Pediatrics General,Program Director,South,51,37,550107,611231,672354,733476,5715,6351,6986,7621,96,107,117,128
Pediatrics General,Program Director,West,78,90,623833,693148,762463,831777,4126,4585,5044,5502,97,109,118,130
Pediatrics General,Division Chief,National,63,152,615182,683536,751889,820243,5394,5995,6594,7193,87,97,105,115
Pediatrics General,Division Chief,Northeast,30,67,658244,731384,804522,877660,4199,4667,5133,5600,92,102,111,122
Pediatrics General,Division Chief,North Central,70,42,584422,649359,714295,779231,4538,5042,5547,6051,94,105,115,125
Pediatrics General,Division Chief,South,40,150,596726,663030,729333,795635,4600,5111,5622,6133,84,94,102,112
Pediatrics General,Division Chief,West,30,146,676700,751890,827078,902267,4192,4659,5125,5591,77,86,93,102
Pediatrics General,Department Chair,National,71,131,672855,747618,822379,897141,5550,6167,6784,7400,87,98,106,116
Pediatrics General,Department Chair,Northeast,56,173,719955,799951,879946,959940,5238,5821,6403,6985,85,95,104,114
Pediatrics General,Department Chair,North Central,41,49,639212,710237,781260,852283,5911,6568,7225,7882,92,103,112,122
Pediatrics General,Department Chair,South,40,163,652669,725189,797708,870226,4666,5185,5703,6222,89,99,108,118
Pediatrics General,Department Chair,West,45,129,740140,822380,904617,986855,5977,6642,7306,7970,81,91,99,108
Pediatrics General,Chief of Surgery,National,40,127,696885,774318,851750,929181,4905,5451,5996,6541,95,106,116,127
Pediatrics General,Chief of Surgery,Northeast,78,136,745667,828521,911372,994224,4916,5463,6009,6556,84,94,103,112
Pediatrics General,Chief of Surgery,North Central,51,184,662041,735602,809162,882722,5932,6592,7251,7910,92,102,111,122
Pediatrics General,Chief of Surgery,South,31,84,675979,751089,826197,901306,5645,6273,6901,7528,96,107,117,128
Pediatrics General,Chief of Surgery,West,79,170,766574,851750,936925,1022099,5955,6618,7279,7941,92,102,111,122
Adolescent Medicine,Staff Physician,National,139,943,363705,404117,444528,484940,8661,9624,10586,11548,61,68,74,81
Adolescent Medicine,Staff Physician,Northeast,146,1166,389164,432405,475644,518885,8661,9624,10586,11548,61,68,74,81
Adolescent Medicine,Staff Physician,North Central,134,951,345519,383911,422301,460693,8661,9624,10586,11548,61,68,74,81
Adolescent Medicine,Staff Physician,South,65,1417,352793,391993,431192,470391,8661,9624,10586,11548,61,68,74,81
Adolescent Medicine,Staff Physician,West,65,1135,400075,444528,488980,533434,8661,9624,10586,11548,61,68,74,81
Adolescent Medicine,Program Director,National,35,21,429171,476858,524543,572229,6507,7231,7954,8677,74,82,90,98
Adolescent Medicine,Program Director,Northeast,74,44,459213,510238,561261,612285,6796,7552,8306,9061,67,74,81,89
Adolescent Medicine,Program Director,North Central,40,170,407713,453015,498315,543617,5941,6602,7262,7922,73,81,89,97
Adolescent Medicine,Program Director,South,50,193,416296,462552,508806,555062,7022,7803,8583,9363,69,77,84,92
Adolescent Medicine,Program Director,West,36,196,472089,524543,576997,629452,7033,7815,8596,9377,71,80,87,95
Adolescent Medicine,Division Chief,National,54,190,465542,517269,568995,620723,7008,7788,8566,9345,76,85,92,101
Adolescent Medicine,Division Chief,Northeast,51,105,498130,553478,608825,664173,6498,7220,7942,8664,76,84,92,101
Adolescent Medicine,Division Chief,North Central,76,98,442265,491406,540546,589687,6234,6927,7620,8312,79,88,96,105
Adolescent Medicine,Division Chief,South,31,136,451576,501751,551925,602101,7617,8464,9310,10156,83,92,101,110
Adolescent Medicine,Division Chief,West,69,163,512096,568996,625895,682795,7596,8440,9284,10128,74,83,90,99
Adolescent Medicine,Department Chair,National,62,75,509186,565763,622339,678916,7087,7875,8663,9450,76,84,92,101
Adolescent Medicine,Department Chair,Northeast,79,44,544830,605367,665902,726440,5900,6556,7211,7866,70,78,85,93
Adolescent Medicine,Department Chair,North Central,36,162,483727,537475,591222,644970,7015,7795,8575,9354,68,75,82,90
Adolescent Medicine,Department Chair,South,62,154,493911,548790,603669,658548,6357,7064,7770,8476,67,75,82,90
Adolescent Medicine,Department Chair,West,78,81,560105,622340,684573,746807,6495,7217,7939,8660,82,91,99,109
Adolescent Medicine,Chief of Surgery,National,39,188,527372,585969,644565,703163,6780,7533,8287,9040,68,76,83,91
Adolescent Medicine,Chief of Surgery,Northeast,43,75,564288,626987,689685,752384,5660,6289,6918,7546,74,83,90,99
Adolescent Medicine,Chief of Surgery,North Central,50,108,501003,556671,612337,668004,6531,7258,7983,8709,74,82,90,98
Adolescent Medicine,Chief of Surgery,South,33,188,511551,568390,625228,682068,6431,7146,7860,8575,71,79,86,94
Adolescent Medicine,Chief of Surgery,West,47,157,580109,644566,709022,773479,7696,8552,9407,10262,70,78,85,94
Allergy and Immunology,Staff Physician,National,123,835,628665,698517,768368,838220,6638,7376,8113,8851,46,52,57,62
Allergy and Immunology,Staff Physician,Northeast,64,1087,672671,747413,822153,896895,6638,7376,8113,8851,46,52,57,62
Allergy and Immunology,Staff Physician,North Central,111,825,597231,663591,729949,796309,6638,7376,8113,8851,46,52,57,62
Allergy and Immunology,Staff Physician,South,110,440,609805,677561,745316,813073,6638,7376,8113,8851,46,52,57,62
Allergy and Immunology,Staff Physician,West,115,1251,691531,768368,845204,922042,6638,7376,8113,8851,46,52,57,62
Allergy and Immunology,Program Director,National,40,31,741824,824250,906674,989099,4374,4860,5346,5832,53,60,66,72
Allergy and Immunology,Program Director,Northeast,62,118,793752,881947,970141,1058336,4976,5529,6081,6635,51,58,64,69
Allergy and Immunology,Program Director,North Central,57,51,704733,783037,861340,939644,4773,5303,5833,6364,58,66,72,78
Allergy and Immunology,Program Director,South,64,53,719569,799522,879474,959426,5882,6536,7189,7844,51,58,63,69
Allergy and Immunology,Program Director,West,60,62,816007,906675,997341,1088009,5398,5998,6598,7198,50,57,62,68
Allergy and Immunology,Division Chief,National,45,110,804691,894101,983511,1072921,4618,5132,5644,6158,60,68,75,81
